nonstationary level,time series length,observation noise,process noise,evidence,significance_level,bayes factor error
2,200,0.1,0.1,-18.80625881449706,-74.96715836564925,nan
0,200,0.2,0.1,-0.19036494996047482,-0.044808013710178285,nan
1,200,0.2,0.1,-17.82411457366266,-59.59146559024285,nan
2,200,0.2,0.1,35.661782407817604,0.999728467536866,nan
0,200,0.3,0.1,-6.865074947028131,-3.858559153734638,nan
1,200,0.3,0.1,-15.84863283872837,-37.44707314081725,nan
2,200,0.3,0.1,-15.412974858293225,-33.77743005515234,nan
0,200,0.1,0.0,-18.808135922692244,-74.99999999797582,nan
1,200,0.1,0.0,-18.63587101823636,-72.04442956245715,nan
2,200,0.1,0.0,-10.21488841721774,-9.507244583759563,nan
0,200,0.1,0.1,-18.303243298605423,-66.65880607734574,nan
1,200,0.1,0.1,-18.784994166556498,-74.596104493136,nan
2,200,0.1,0.1,-12.557823624150444,-17.021144226345132,nan
0,200,0.1,0.2,-11.679706411154493,-13.722129755136205,nan
1,200,0.1,0.2,-18.807501431859293,-74.98889744360501,nan
2,200,0.1,0.2,44.45735055360846,0.9999641685036803,nan
0,100,0.1,0.1,-3.0290311187569943,-1.0086446477562223,nan
1,100,0.1,0.1,-15.52415576991445,-34.67923852558154,nan
2,100,0.1,0.1,-15.238778271113727,-32.410103968144035,nan
0,200,0.1,0.1,29.4122417546704,0.9988550782003808,nan
1,200,0.1,0.1,-18.7393373637669,-73.80553552892243,nan
2,200,0.1,0.1,87.86732049616161,0.9999999983659402,nan
0,400,0.1,0.1,-18.8080266329634,-74.99808749039659,nan
1,400,0.1,0.1,3.11848706601858,0.512301641997682,nan
2,400,0.1,0.1,82.22967961892643,0.9999999940154426,nan
0,200,0.0,0.1,-18.807734948336293,-74.99298341232618,nan
1,200,0.0,0.1,-18.800333606834347,-74.86358480199694,nan
2,200,0.0,0.1,12.62900165890635,0.9454116667563406,nan
0,200,0.1,0.1,-18.750298885096893,-73.99458194554057,nan
1,200,0.1,0.1,-18.802417382639046,-74.89999342327245,nan
2,200,0.1,0.1,6.9767595600194765,0.7994031800015705,nan
0,200,0.2,0.1,45.10481083141527,0.9999691312590018,nan
1,200,0.2,0.1,-17.883157505980233,-60.42083985550012,nan
2,200,0.2,0.1,-17.238715426428694,-51.95068010892518,nan
0,200,0.3,0.1,-18.41388219193685,-68.40459418343016,nan
1,200,0.3,0.1,-18.711688922538873,-73.33081458996475,nan
2,200,0.3,0.1,12.997131127227735,0.9498481581547786,nan
0,200,0.1,0.0,-18.808135917122737,-74.99999990051141,nan
1,200,0.1,0.0,-9.177834076401016,-7.275293534071764,nan
2,200,0.1,0.0,-8.867765350607431,-6.705069050020668,nan
0,200,0.1,0.1,-18.79277927586784,-74.73173866930983,nan
1,200,0.1,0.1,-2.2769714692245024,-0.6892625220694213,nan
2,200,0.1,0.1,3.302583676759495,0.5325430379359455,nan
0,200,0.1,0.2,-16.34063536216039,-42.05896000849155,nan
1,200,0.1,0.2,-5.617570844076367,-2.64549984753234,nan
2,200,0.1,0.2,-18.231224076130673,-65.54606924930779,nan
0,100,0.1,0.1,-13.10110623081168,-19.422580804761797,nan
1,100,0.1,0.1,-14.363555745698413,-26.31213022915206,nan
2,100,0.1,0.1,-17.10114337256271,-50.29964234303111,nan
0,200,0.1,0.1,2.378990787229675,0.4217695991242695,nan
1,200,0.1,0.1,-17.302824284571063,-52.73811500838184,nan
2,200,0.1,0.1,9.399485596276323,0.8851710376434899,nan
0,400,0.1,0.1,-18.80800401750585,-74.99769173886895,nan
1,400,0.1,0.1,17.63485271103402,0.9827608944433484,nan
2,400,0.1,0.1,17.86993664857327,0.9836692423026825,nan
0,200,0.0,0.1,-2.3107009828408285,-0.7024332713164092,nan
1,200,0.0,0.1,-18.6748505216512,-72.70298073217198,nan
2,200,0.0,0.1,-14.347418204077467,-26.21083196311782,nan
0,200,0.1,0.1,-17.88073586598225,-60.38660094441816,nan
1,200,0.1,0.1,-7.320568205570524,-4.39581213556119,nan
2,200,0.1,0.1,-10.918554665981286,-11.355361780111341,nan
0,200,0.2,0.1,-9.62970218344529,-8.182696241723603,nan
1,200,0.2,0.1,-18.35462229881902,-67.46399381121185,nan
